actorid;name
1884131;Stallone, Sylvester
551291;Eastwood, Clint
333751;Chan, Jackie (I)
1778258;Schwarzenegger, Arnold
2142564;Willis, Bruce
390352;Connery, Sean
1445051;Norris, Chuck
2036328;Van Damme, Jean-Claude
562311;El Gamal, Amin
2099996;Washington, Denzel
707527;Gibson, Mel (I)
283649;Cage, Nicolas
1649281;Reynolds, Burt (I)
1784390;Seagal, Steven
1888669;Statham, Jason
422552;Cruise, Tom
1807139;Shaw, Scott (I)
1098608;Lambert, Christopher (I)
1364266;Moore, Roger (I)
2141957;Williamson, Fred
503208;Diesel, Vin
1150800;Li, Jet (I)
637490;Ford, Harrison (I)
2083165;Wahlberg, Mark (I)
1716611;Russell, Kurt (I)
1150444;Li, Bruce (I)
1859540;Snipes, Wesley
1418745;Neeson, Liam
784708;Hackman, Gene
1808575;Sheen, Charlie
1178995;Loretto, John
406793;Costner, Kevin
2094736;Wang, Yu (I)
1671273;Roberts, Eric (I)
1489031;Owen, Clive (I)
246010;Brosnan, Pierce
957951;Johnson, Dwayne (I)
3283970;Taylor, Veronica (I)
308439;Carradine, David
969935;Jones, Tommy Lee
583505;Estevez, Emilio
280739;Caan, James (I)
110631;Bale, Christian
489296;Depp, Johnny
1001590;Katsu, Shintarô
1603995;Quaid, Dennis
2000198;Travolta, John (I)
823008;Hauer, Rutger
2000967;Trejo, Danny
1857483;Smith, Will (I)
284610;Caine, Michael (I)
114828;Banderas, Antonio
1637320;Reeves, Keanu
23889;Akkineni, Nagarjuna
1457902;O'Keeffe, Miles
1393404;Murphy, Eddie (I)
926129;Jackman, Hugh
928640;Jackson, Samuel L.
526366;Downey Jr., Robert
2087305;Walker, Paul (I)
2907832;Matsumoto, Rica
238270;Bridges, Jeff (I)
468868;De Niro, Robert
421790;Crowe, Russell
1126131;Lee, Bruce (I)
1900495;Stewart, Patrick (I)
351414;Chiranjeevi (I)
348515;Chiang, David
1117978;Lawrence, Martin (I)
353953;Chong, Billy
1901673;Stiller, Ben
1126364;Lee, Christopher (I)
1063578;Kosugi, Shô
1079880;Kumar, Akshay (I)
635096;Fonda, Peter (I)
1007334;Keaton, Michael
249738;Brown, Jim (I)
107008;Baker, Joe Don
535188;Dudikoff, Michael
2144935;Wilson, Don 'The Dragon'
857699;Hill, Terence (I)
714121;Ginty, Robert
592204;Fahey, Jeff
348913;Chiba, Shin'ichi
413468;Craig, Daniel (I)
1121541;Le, Bruce
355346;Chow, Yun-Fat
372570;Clooney, George
2083107;Wahl, Ken
2038317;Van Dien, Casper
1928448;Swayze, Patrick
734150;Gooding Jr., Cuba
1191485;Lundgren, Dolph
650940;Fraser, Brendan
1699360;Roso, Emilio (I)
275403;Butler, Gerard
987981;Kalyan, Pawan
1805996;Shatner, William
98355;Babu, Mahesh (I)
524626;Douglas, Michael (I)
